p_val,avg_log2FC,pct.OE,pct.KD,p_val_adj,gene
1.09E-01,-0.1844984299,0.532,0.607,1.00E+00,Garnl3
1.09E-01,-1.105742803,0.016,0.033,1.00E+00,Abcb1b
1.09E-01,-0.1644805385,0.388,0.454,1.00E+00,Pak7
1.10E-01,-0.74465282,0.032,0.054,1.00E+00,Mpp1
1.10E-01,0.2023289824,0.576,0.57,1.00E+00,Lrch1
1.10E-01,1.119778159,0.018,0.007,1.00E+00,Xrcc3
1.10E-01,1.154524899,0.018,0.007,1.00E+00,Scel
1.10E-01,-0.2305585566,0.099,0.137,1.00E+00,Ccdc171
1.10E-01,0.2271917983,0.417,0.38,1.00E+00,Hspa5
1.10E-01,-1.033289199,0.011,0.026,1.00E+00,Eaf1
1.10E-01,-1.128088219,0.011,0.026,1.00E+00,Tmem179b
1.10E-01,-0.9813240663,0.016,0.033,1.00E+00,Pycr2
1.10E-01,-2.053151715,0.005,0.015,1.00E+00,Taco1os
1.10E-01,-1.20316478,0.011,0.026,1.00E+00,Gm49519
1.10E-01,-0.8730293233,0.016,0.033,1.00E+00,Ciart
1.10E-01,0.3254983168,0.342,0.311,1.00E+00,Smarca4
1.10E-01,-0.1996453622,0.078,0.113,1.00E+00,Gm5141
1.10E-01,-0.5880776537,0.048,0.074,1.00E+00,Rmdn3
1.10E-01,-0.1361940588,0.174,0.224,1.00E+00,Cdyl2
1.11E-01,0.1668011432,0.766,0.752,1.00E+00,Prkcb
1.11E-01,-0.1305674515,0.158,0.207,1.00E+00,Naa35
1.11E-01,-0.9786318215,0.011,0.026,1.00E+00,Bub1b
1.11E-01,-1.819059193,0.005,0.015,1.00E+00,Nhsl1
1.11E-01,-1.554533471,0.005,0.015,1.00E+00,Nmral1
1.11E-01,-0.7055088349,0.05,0.076,1.00E+00,Rtl4
1.11E-01,0.8498210834,0.046,0.026,1.00E+00,Bysl
1.11E-01,0.6886786115,0.131,0.1,1.00E+00,Rai2
1.11E-01,0.6271963259,0.103,0.074,1.00E+00,Ick
1.11E-01,-0.2511644466,0.296,0.346,1.00E+00,Rev1
1.11E-01,-0.8364711572,0.016,0.033,1.00E+00,Yrdc
1.11E-01,-0.5193567764,0.021,0.039,1.00E+00,Trim43c
1.11E-01,0.3000817842,0.245,0.2,1.00E+00,Upf2
1.11E-01,-0.3072749844,0.087,0.122,1.00E+00,Snx8
1.11E-01,-0.4609946577,0.048,0.074,1.00E+00,Arl6ip6
1.11E-01,0.1146176164,0.906,0.898,1.00E+00,Srrm4
1.11E-01,-0.4881919172,0.039,0.063,1.00E+00,Crnkl1
1.11E-01,-1.455266754,0.005,0.015,1.00E+00,Pard3bos1
1.11E-01,-1.283565007,0.005,0.015,1.00E+00,Ccdc40
1.11E-01,-1.331482425,0.005,0.015,1.00E+00,Cdhr3
1.11E-01,-0.6087819799,0.087,0.12,1.00E+00,Capn10
1.12E-01,0.396679422,0.165,0.128,1.00E+00,Ubxn11
1.12E-01,0.7650334179,0.046,0.026,1.00E+00,Shisa6
1.12E-01,-0.2667773218,0.073,0.107,1.00E+00,Ten1
1.12E-01,-0.2065312158,0.193,0.243,1.00E+00,Tmem87b
1.12E-01,-0.7377187283,0.011,0.026,1.00E+00,Opn5
1.12E-01,-1.337543423,0.005,0.015,1.00E+00,Muc3a
1.12E-01,-1.568393521,0.005,0.015,1.00E+00,Sowaha
1.12E-01,-1.401082517,0.005,0.015,1.00E+00,Znhit3
1.12E-01,-1.741380579,0.005,0.015,1.00E+00,Tep1
1.12E-01,-0.5433965425,0.048,0.074,1.00E+00,Gm28307
1.12E-01,-0.3484723367,0.172,0.22,1.00E+00,Mccc1
1.12E-01,-0.8031574971,0.016,0.033,1.00E+00,A430005L14Rik
1.12E-01,-0.8666515108,0.011,0.026,1.00E+00,BC065403
1.12E-01,-0.5970360771,0.021,0.039,1.00E+00,B4galt2
1.12E-01,0.2409599583,0.454,0.424,1.00E+00,Fer
1.12E-01,-0.5037779018,0.032,0.054,1.00E+00,Phyhd1
1.12E-01,-0.3996488257,0.053,0.08,1.00E+00,Ubl5
1.12E-01,-0.9360708684,0.028,0.048,1.00E+00,Cwf19l1
1.12E-01,-1.364512485,0.005,0.015,1.00E+00,Rab42
1.12E-01,-0.8371036897,0.016,0.033,1.00E+00,Eml3
1.12E-01,-0.6084563447,0.011,0.026,1.00E+00,Gm7030
1.12E-01,-0.365320403,0.115,0.154,1.00E+00,Gnpat
1.12E-01,-1.016668421,0.005,0.015,1.00E+00,Cd34
1.12E-01,-1.269695566,0.005,0.015,1.00E+00,0610040F04Rik
1.12E-01,-0.4386674106,0.094,0.128,1.00E+00,4933439C10Rik
1.13E-01,0.2150626208,0.553,0.522,1.00E+00,Zdhhc14
1.13E-01,-0.7572957521,0.034,0.057,1.00E+00,Rps15a
1.13E-01,-1.262054454,0.005,0.015,1.00E+00,Wdr38
1.13E-01,-1.499645071,0.005,0.015,1.00E+00,Kcnh8
1.13E-01,-0.3824264983,0.071,0.102,1.00E+00,Paqr9
1.13E-01,-0.1706715561,0.124,0.167,1.00E+00,Rbx1
1.13E-01,-0.7436420226,0.016,0.033,1.00E+00,Get4
1.13E-01,-0.4625074453,0.101,0.135,1.00E+00,Gm15965
1.13E-01,0.1674222902,0.764,0.743,1.00E+00,Cers6
1.13E-01,-0.9683380247,0.005,0.015,1.00E+00,Gm41496
1.13E-01,-0.7923814823,0.011,0.026,1.00E+00,Gm48604
1.13E-01,-0.1929077416,0.202,0.254,1.00E+00,Mtmr1
1.13E-01,0.8311145097,0.064,0.041,1.00E+00,Mlh1
1.13E-01,-0.8238253917,0.005,0.015,1.00E+00,Gm38163
1.13E-01,-0.8959147592,0.005,0.015,1.00E+00,A730085K08Rik
1.14E-01,-0.2180098987,0.227,0.285,1.00E+00,Caap1
1.14E-01,-0.1877163984,0.138,0.18,1.00E+00,Mrpl48
1.14E-01,-0.7821221495,0.028,0.048,1.00E+00,Zfp788
1.14E-01,-0.6418660936,0.034,0.057,1.00E+00,Tmem121
1.14E-01,-0.1540654114,0.264,0.324,1.00E+00,Tspan3
1.14E-01,-0.5843600802,0.048,0.074,1.00E+00,Wdr36
1.14E-01,0.6743631784,0.08,0.054,1.00E+00,Gm37768
1.14E-01,-0.1597901373,0.319,0.387,1.00E+00,Impact
1.14E-01,0.6781609176,0.076,0.05,1.00E+00,Nectin3
1.14E-01,-0.271682824,0.158,0.202,1.00E+00,Golim4
1.14E-01,-0.813558743,0.028,0.048,1.00E+00,Fbxo30
1.14E-01,-0.6508491966,0.028,0.048,1.00E+00,Crim1
1.14E-01,0.3893484187,0.28,0.248,1.00E+00,Clpx
1.14E-01,-0.1142492294,0.654,0.722,1.00E+00,Mir99ahg
1.14E-01,-0.185687855,0.25,0.304,1.00E+00,Usp24
1.14E-01,0.6477636015,0.062,0.039,1.00E+00,Cct5
1.15E-01,-0.6714911732,0.016,0.033,1.00E+00,Myl1
1.15E-01,-0.1969688728,0.021,0.039,1.00E+00,Dab2
1.15E-01,-0.4956937876,0.057,0.085,1.00E+00,Srp19
1.15E-01,-0.3117547846,0.06,0.089,1.00E+00,Psma4
1.15E-01,0.8653575253,0.048,0.028,1.00E+00,Ttc39aos1
1.15E-01,-0.3094647759,0.287,0.343,1.00E+00,Hnrnph3
1.15E-01,-0.1674522014,0.372,0.45,1.00E+00,Kcnq2
1.15E-01,-2.145142438,0.002,0.011,1.00E+00,Phf13
1.15E-01,-2.395996443,0.002,0.011,1.00E+00,Gm26953
1.15E-01,-2.473957209,0.002,0.011,1.00E+00,Gldn
1.15E-01,-0.5249392012,0.011,0.026,1.00E+00,Cavin4
1.15E-01,-0.4962460041,0.048,0.074,1.00E+00,Repin1
1.15E-01,1.075156636,0.05,0.03,1.00E+00,Elmod2
1.15E-01,-0.3207695858,0.046,0.072,1.00E+00,Radil
1.15E-01,-0.4440019534,0.076,0.107,1.00E+00,Dact3
1.15E-01,-0.6848270018,0.016,0.033,1.00E+00,Pycrl
1.15E-01,-2.067433485,0.002,0.011,1.00E+00,Igsf10
1.15E-01,-2.440062535,0.002,0.011,1.00E+00,Cyp2j12
1.15E-01,-1.929712105,0.002,0.011,1.00E+00,5830487J09Rik
1.15E-01,-2.019074612,0.002,0.011,1.00E+00,Upk1a
1.15E-01,-2.191420121,0.002,0.011,1.00E+00,Gm49227
1.15E-01,-2.287764241,0.002,0.011,1.00E+00,Grp
1.16E-01,0.2627891827,0.25,0.215,1.00E+00,Zdhhc18
1.16E-01,1.011615439,0.05,0.03,1.00E+00,Prox2
1.16E-01,-2.41192276,0.002,0.011,1.00E+00,Raly
1.16E-01,-1.874571813,0.002,0.011,1.00E+00,Med18
1.16E-01,-1.888565298,0.002,0.011,1.00E+00,Gm15545
1.16E-01,-2.365526466,0.002,0.011,1.00E+00,Fzd4
1.16E-01,-1.86519892,0.002,0.011,1.00E+00,Cdpf1
1.16E-01,-2.170859409,0.002,0.011,1.00E+00,Crip3
1.16E-01,-1.936940419,0.002,0.011,1.00E+00,Zfp119b
1.16E-01,-2.098669269,0.002,0.011,1.00E+00,Gm50021
1.16E-01,-2.030139539,0.002,0.011,1.00E+00,Gm30093
1.16E-01,-0.4714025335,0.083,0.115,1.00E+00,Slc25a22
1.16E-01,-0.2765606254,0.154,0.196,1.00E+00,Cct3
1.16E-01,-0.2624440102,0.216,0.265,1.00E+00,Fbxl5
1.16E-01,-0.5928089895,0.011,0.026,1.00E+00,Zfp995
1.16E-01,1.216335232,0.037,0.02,1.00E+00,Itga10
1.16E-01,1.394040165,0.037,0.02,1.00E+00,Zfp646
1.16E-01,-1.755429428,0.002,0.011,1.00E+00,Fam72a
1.16E-01,-1.845650558,0.002,0.011,1.00E+00,Olfr691
1.16E-01,-1.731732006,0.002,0.011,1.00E+00,Zfp882
1.16E-01,-1.740659296,0.002,0.011,1.00E+00,Lrrc75b
1.16E-01,-1.754886075,0.002,0.011,1.00E+00,Susd2
1.16E-01,-1.893360601,0.002,0.011,1.00E+00,Slc24a4
1.16E-01,-1.816128664,0.002,0.011,1.00E+00,Sfrp4
1.16E-01,-1.899418683,0.002,0.011,1.00E+00,Ppp1r3e
1.16E-01,-1.598016868,0.002,0.011,1.00E+00,Meiob
1.16E-01,-1.733431914,0.002,0.011,1.00E+00,Gm50107
1.16E-01,-2.051490098,0.002,0.011,1.00E+00,Ifit1
1.16E-01,-2.037851765,0.002,0.011,1.00E+00,Gm15201
1.16E-01,0.3426598169,0.362,0.328,1.00E+00,Vps13c
1.16E-01,-0.1737038452,0.388,0.448,1.00E+00,Gabra4
1.16E-01,0.3285255944,0.273,0.237,1.00E+00,Bcr
1.17E-01,-0.263737178,0.106,0.143,1.00E+00,Uchl1
1.17E-01,0.5597475735,0.22,0.189,1.00E+00,Spen
1.17E-01,-0.6733303256,0.05,0.076,1.00E+00,Casp3
1.17E-01,-1.643528194,0.002,0.011,1.00E+00,Proser2
1.17E-01,-1.75760415,0.002,0.011,1.00E+00,Gm43331
1.17E-01,-1.650379896,0.002,0.011,1.00E+00,Ptger3
1.17E-01,-1.594395285,0.002,0.011,1.00E+00,Gm3364
1.17E-01,-1.61093245,0.002,0.011,1.00E+00,Gm15082
1.17E-01,-1.246259297,0.002,0.011,1.00E+00,Ier2
1.17E-01,-1.665815885,0.002,0.011,1.00E+00,Gm36278
1.17E-01,-0.1197528791,0.922,0.935,1.00E+00,Rora
1.17E-01,-0.5319129532,0.041,0.065,1.00E+00,Pycard
1.17E-01,-0.5386980073,0.067,0.096,1.00E+00,Mrps26
1.17E-01,-0.4281138819,0.158,0.2,1.00E+00,Eno1
1.17E-01,-0.239934727,0.174,0.217,1.00E+00,Slc6a15
1.17E-01,0.5754141594,0.122,0.091,1.00E+00,Atg2b
1.17E-01,-0.4485868293,0.083,0.115,1.00E+00,Ints7
1.17E-01,-1.303477305,0.002,0.011,1.00E+00,Gm33533
1.17E-01,-1.427697559,0.002,0.011,1.00E+00,Aldob
1.17E-01,-1.301468133,0.002,0.011,1.00E+00,Msantd1
1.17E-01,-1.37539682,0.002,0.011,1.00E+00,2610001J05Rik
1.17E-01,-1.560804483,0.002,0.011,1.00E+00,1700112J16Rik
1.17E-01,-1.217661496,0.002,0.011,1.00E+00,Ovca2
1.17E-01,-1.45206068,0.002,0.011,1.00E+00,Zfp457
1.17E-01,-1.29931395,0.002,0.011,1.00E+00,Tceal1
1.17E-01,-0.260132211,0.053,0.08,1.00E+00,Vat1l
1.17E-01,0.1434089652,0.888,0.904,1.00E+00,Tjp1
1.18E-01,-0.3295507178,0.108,0.146,1.00E+00,1700016K05Rik
1.18E-01,-0.169885603,0.17,0.22,1.00E+00,Sil1
1.18E-01,0.984680452,0.05,0.03,1.00E+00,Tmc4
1.18E-01,0.298816685,0.312,0.272,1.00E+00,Evi5l
1.18E-01,-0.2937796732,0.179,0.224,1.00E+00,Bbip1
1.18E-01,-0.300495286,0.115,0.154,1.00E+00,Lpcat4
1.18E-01,-0.542138328,0.099,0.13,1.00E+00,Prpf18
1.18E-01,-0.176731337,0.394,0.472,1.00E+00,Nrxn2
1.18E-01,-0.2984965505,0.087,0.122,1.00E+00,Slc39a6
1.19E-01,0.7415349282,0.101,0.074,1.00E+00,Slc37a3
1.19E-01,-0.270201371,0.204,0.254,1.00E+00,Ythdf3
1.19E-01,0.566882192,0.172,0.139,1.00E+00,Ccdc93
1.19E-01,-0.7114665018,0.062,0.089,1.00E+00,Nudcd2
1.19E-01,-0.5378429637,0.048,0.074,1.00E+00,Dpp7
1.19E-01,-0.6127355649,0.034,0.057,1.00E+00,Maip1
1.19E-01,-0.5651565736,0.034,0.057,1.00E+00,Phospho2
1.19E-01,0.7661115134,0.048,0.028,1.00E+00,Anp32e
1.19E-01,-0.1118921545,0.305,0.37,1.00E+00,Rasgef1a
1.19E-01,-0.7320388124,0.037,0.059,1.00E+00,Zdhhc22
1.19E-01,-0.1313873472,0.106,0.143,1.00E+00,Mpv17
1.19E-01,-0.3376329413,0.062,0.091,1.00E+00,Pcif1
1.19E-01,-0.1871219271,0.119,0.159,1.00E+00,Ulk4
1.20E-01,0.9316998907,0.037,0.02,1.00E+00,Capn5
1.20E-01,-0.4428073153,0.122,0.157,1.00E+00,Hdac1
1.20E-01,-0.1607412688,0.399,0.465,1.00E+00,Slc38a9
1.20E-01,-0.282482118,0.291,0.35,1.00E+00,Trhde
1.20E-01,1.26536948,0.028,0.013,1.00E+00,0610009B22Rik
1.20E-01,-1.026485337,0.03,0.05,1.00E+00,Cpsf1
1.20E-01,0.404473515,0.372,0.354,1.00E+00,Acss2
1.20E-01,-0.1754347158,0.468,0.526,1.00E+00,Thoc1
1.20E-01,-0.5917994307,0.062,0.089,1.00E+00,Asphd1
1.20E-01,-0.4224987492,0.11,0.146,1.00E+00,Slc43a2
1.20E-01,1.21179502,0.039,0.022,1.00E+00,Ndufaf1
1.21E-01,-0.3430933228,0.055,0.083,1.00E+00,Rassf3
1.21E-01,0.2207599889,0.305,0.267,1.00E+00,Hsp90b1
1.21E-01,0.8614188783,0.037,0.02,1.00E+00,Thap7
1.21E-01,1.228353123,0.028,0.013,1.00E+00,Synm
1.21E-01,0.2249320522,0.61,0.607,1.00E+00,Nos1ap
1.21E-01,-0.4040235974,0.073,0.104,1.00E+00,Nwd2
1.21E-01,-1.068140811,0.023,0.041,1.00E+00,Pgrmc2
1.21E-01,-0.2454615445,0.163,0.209,1.00E+00,Pabpc1
1.21E-01,-0.3282164896,0.101,0.137,1.00E+00,Rdh13
1.21E-01,0.5930993431,0.163,0.133,1.00E+00,Rnft2
1.21E-01,-0.7132137657,0.03,0.05,1.00E+00,Gm17477
1.21E-01,-0.2367881165,0.312,0.374,1.00E+00,Ankrd28
1.21E-01,1.074770467,0.028,0.013,1.00E+00,A930033H14Rik
1.21E-01,-0.4069067071,0.119,0.157,1.00E+00,B3galt2
1.21E-01,-0.3115523252,0.046,0.072,1.00E+00,Spcs3
1.21E-01,-0.7412470601,0.037,0.059,1.00E+00,Ddx25
1.21E-01,1.226209404,0.028,0.013,1.00E+00,Rnf17
1.21E-01,-0.1325577997,0.22,0.272,1.00E+00,Inpp4b
1.22E-01,-0.6204152165,0.044,0.067,1.00E+00,Sub1
1.22E-01,1.023967646,0.028,0.013,1.00E+00,Exo5
1.22E-01,1.01767328,0.028,0.013,1.00E+00,Rs1
1.22E-01,-0.2829276109,0.131,0.172,1.00E+00,Plekhb2
1.22E-01,-0.2505863159,0.039,0.063,1.00E+00,Bcl2l15
1.22E-01,-0.1628840408,0.356,0.422,1.00E+00,Vwa5b2
1.22E-01,0.3761612197,0.2,0.163,1.00E+00,Cuedc1
1.22E-01,0.4333892364,0.399,0.374,1.00E+00,March11
1.22E-01,1.313866646,0.039,0.022,1.00E+00,Slc1a3
1.22E-01,-0.1652951427,0.289,0.354,1.00E+00,Dlst
1.22E-01,0.3112842784,0.177,0.139,1.00E+00,Fam45a
1.23E-01,0.3496724511,0.303,0.272,1.00E+00,Shank2
1.23E-01,-0.8670603292,0.037,0.059,1.00E+00,Fli1
1.23E-01,0.4456917567,0.167,0.135,1.00E+00,Zfp592
1.23E-01,-0.2492835943,0.248,0.293,1.00E+00,Gm42439
1.23E-01,-0.2828324349,0.131,0.17,1.00E+00,Ttc21b
1.23E-01,1.339322668,0.039,0.022,1.00E+00,Ddn
1.23E-01,-0.8217035188,0.023,0.041,1.00E+00,Cbx8
1.23E-01,-0.6920118909,0.037,0.059,1.00E+00,Snrpg
1.23E-01,-0.127288573,0.213,0.272,1.00E+00,Xpo1
1.23E-01,0.9765256169,0.05,0.03,1.00E+00,LTO1
1.23E-01,-0.5277236065,0.073,0.102,1.00E+00,Scamp2
1.23E-01,-0.8171258356,0.023,0.041,1.00E+00,Slc39a2
1.23E-01,-0.2414330902,0.151,0.193,1.00E+00,Wdfy1
1.23E-01,0.7095194548,0.099,0.072,1.00E+00,Isy1
1.23E-01,-0.8197228711,0.023,0.041,1.00E+00,Dnal4
1.24E-01,0.5707336791,0.209,0.178,1.00E+00,Ppp4r3a
1.24E-01,0.1286954033,0.869,0.837,1.00E+00,Rasal2
1.24E-01,-0.2703875222,0.124,0.163,1.00E+00,Tmem25
1.24E-01,-0.3109667684,0.11,0.146,1.00E+00,Adam17
1.24E-01,1.125146913,0.039,0.022,1.00E+00,Pcsk1
1.24E-01,-0.2907956994,0.069,0.098,1.00E+00,Mogs
1.24E-01,-0.4072126406,0.094,0.126,1.00E+00,Slc25a16
1.24E-01,-0.2552475404,0.062,0.091,1.00E+00,Sdc3
1.25E-01,-0.393495465,0.069,0.098,1.00E+00,B930095G15Rik
1.25E-01,-0.3746577752,0.034,0.057,1.00E+00,Trim8
1.25E-01,-0.4270951848,0.05,0.076,1.00E+00,Rars
1.25E-01,-0.203162666,0.158,0.202,1.00E+00,Cyc1
1.25E-01,0.6560124175,0.089,0.063,1.00E+00,Cnih4
1.25E-01,-0.2558658979,0.333,0.391,1.00E+00,Mpc1
1.25E-01,-0.6497433871,0.03,0.05,1.00E+00,Gm9856
1.26E-01,0.8739533429,0.073,0.05,1.00E+00,Obsl1
1.26E-01,-0.3011067201,0.161,0.202,1.00E+00,Noc2l
1.26E-01,-0.5205735868,0.092,0.122,1.00E+00,Ddx23
1.26E-01,-0.3913815646,0.099,0.133,1.00E+00,Kpnb1
1.26E-01,-0.3051852122,0.131,0.172,1.00E+00,Rpl11
1.26E-01,-0.1402925554,0.493,0.561,1.00E+00,Cdk12
1.26E-01,0.3513432316,0.319,0.293,1.00E+00,5730522E02Rik
1.26E-01,0.2301287941,0.392,0.359,1.00E+00,Stambpl1
1.26E-01,0.429066478,0.186,0.152,1.00E+00,Sms
1.26E-01,0.4658650972,0.17,0.135,1.00E+00,Gm49417
1.26E-01,0.4325049253,0.156,0.124,1.00E+00,Tpi1
1.26E-01,-0.5408420515,0.073,0.102,1.00E+00,Rab11b
1.26E-01,0.3923854005,0.255,0.22,1.00E+00,Cherp
1.26E-01,-0.3509921242,0.076,0.107,1.00E+00,Zfp651
1.26E-01,-0.3819608109,0.023,0.041,1.00E+00,Tom1l1
1.26E-01,-0.1118128514,0.227,0.283,1.00E+00,Ncbp3
1.27E-01,0.1010821641,0.984,1,1.00E+00,Kcnma1
1.27E-01,-1.040946918,0.018,0.035,1.00E+00,Dmap1
1.27E-01,0.508178445,0.087,0.061,1.00E+00,Fbxl18
1.27E-01,0.9687914492,0.039,0.022,1.00E+00,Clmn
1.27E-01,-0.3160002003,0.128,0.167,1.00E+00,Mettl25
1.27E-01,0.7260909022,0.069,0.046,1.00E+00,Mroh8
1.27E-01,-0.6420450935,0.023,0.041,1.00E+00,Ccdc134
1.27E-01,-0.4650326869,0.064,0.091,1.00E+00,Gps1
1.28E-01,-1.295372807,0.009,0.022,1.00E+00,Cat
1.28E-01,0.2311738588,0.452,0.417,1.00E+00,Rps6ka2
1.28E-01,-0.4007905508,0.05,0.076,1.00E+00,Gdpd5
1.28E-01,-0.8338610361,0.018,0.035,1.00E+00,Rfxank
1.28E-01,-0.3015016814,0.135,0.176,1.00E+00,Crot
1.28E-01,-0.4081924094,0.06,0.087,1.00E+00,Ptcd2
1.28E-01,-0.2555130753,0.17,0.213,1.00E+00,Fkbp15
1.28E-01,0.6792426882,0.069,0.046,1.00E+00,Paxip1
1.28E-01,-0.6027465133,0.023,0.041,1.00E+00,Bahd1
1.28E-01,-0.4886073454,0.06,0.087,1.00E+00,Zfp511
1.28E-01,-0.3733603575,0.08,0.111,1.00E+00,Slc35b3
1.28E-01,-1.375259439,0.009,0.022,1.00E+00,Tmem141
1.28E-01,-1.351655706,0.009,0.022,1.00E+00,Medag
1.28E-01,-0.2800797894,0.131,0.17,1.00E+00,Inha
1.29E-01,-0.215949246,0.163,0.207,1.00E+00,Pus10
1.29E-01,-0.68031471,0.172,0.209,1.00E+00,Ptprk
1.29E-01,0.7001059218,0.064,0.041,1.00E+00,Lgr5
1.29E-01,0.3553627866,0.264,0.226,1.00E+00,Gm17276
1.29E-01,-0.2288895326,0.133,0.172,1.00E+00,Ide
1.29E-01,-0.2408731855,0.229,0.278,1.00E+00,Prr14
1.29E-01,-0.5200725138,0.053,0.078,1.00E+00,Rbbp5
1.29E-01,-0.1344357065,0.333,0.398,1.00E+00,Spop
1.29E-01,-0.1971311583,0.206,0.259,1.00E+00,Ddx42
1.29E-01,-0.1927393389,0.071,0.102,1.00E+00,Usp11
1.29E-01,-0.3201647199,0.055,0.083,1.00E+00,Rpl10
1.29E-01,0.4465943505,0.2,0.163,1.00E+00,Cyb5b
1.30E-01,-1.072604997,0.009,0.022,1.00E+00,Vmn2r85
1.30E-01,-0.120395051,0.142,0.185,1.00E+00,5430405H02Rik
1.30E-01,-0.9629013149,0.025,0.043,1.00E+00,Srl
1.30E-01,0.7781775959,0.039,0.022,1.00E+00,Gm13205
1.30E-01,-1.079573328,0.009,0.022,1.00E+00,Gm50240
1.30E-01,-0.3891776199,0.138,0.174,1.00E+00,Sec16a
1.30E-01,-0.683750792,0.03,0.05,1.00E+00,Ggh
1.30E-01,0.8805560185,0.039,0.022,1.00E+00,Coro1b
1.30E-01,-1.1930224,0.009,0.022,1.00E+00,Ramp2
1.30E-01,-0.6891721118,0.039,0.061,1.00E+00,Mrps11
1.30E-01,-0.4817667078,0.023,0.041,1.00E+00,Gprin1
1.30E-01,-0.2242297695,0.089,0.122,1.00E+00,Pde7b
1.30E-01,0.945187286,0.055,0.035,1.00E+00,Nrbf2
1.30E-01,0.2369057607,0.498,0.476,1.00E+00,Fam222b
1.31E-01,-1.397506386,0.009,0.022,1.00E+00,Kcnk9
1.31E-01,-0.2376514991,0.158,0.204,1.00E+00,Copb1
1.31E-01,-0.4967974588,0.018,0.035,1.00E+00,Cd2bp2
1.31E-01,0.5154589309,0.158,0.128,1.00E+00,Mrpl1
1.31E-01,0.1433686502,0.833,0.811,1.00E+00,Otud7a
1.31E-01,-0.1283503317,0.498,0.559,1.00E+00,Elmod1
1.31E-01,-1.074058714,0.009,0.022,1.00E+00,9330111N05Rik
1.31E-01,-1.134945195,0.009,0.022,1.00E+00,Grasp
1.31E-01,-0.3761597005,0.103,0.139,1.00E+00,Hrh3
1.31E-01,0.1164521406,0.846,0.824,1.00E+00,Lrrtm3
1.31E-01,-0.6030280273,0.03,0.05,1.00E+00,Bid
1.31E-01,-0.4828387015,0.03,0.05,1.00E+00,Iqank1
1.31E-01,-0.1410727127,0.583,0.641,1.00E+00,Tia1
1.31E-01,0.8807950839,0.092,0.067,1.00E+00,Arhgap22
1.31E-01,-0.8778578928,0.009,0.022,1.00E+00,Gm49127
1.31E-01,-0.1830967512,0.259,0.315,1.00E+00,Arih2
1.31E-01,0.7348974125,0.071,0.048,1.00E+00,Rrm2b
1.31E-01,-0.5804508108,0.03,0.05,1.00E+00,1700001O22Rik
1.32E-01,1.759734646,0.021,0.009,1.00E+00,Gm15690
1.32E-01,1.636384974,0.021,0.009,1.00E+00,Gm45069
1.32E-01,-0.2426805646,0.404,0.467,1.00E+00,Pum1
1.32E-01,-0.5484681945,0.046,0.07,1.00E+00,Pfdn4
1.32E-01,1.787401737,0.021,0.009,1.00E+00,D7Ertd443e
1.32E-01,-0.1099059518,0.216,0.27,1.00E+00,Lztfl1
1.32E-01,-1.250858662,0.014,0.028,1.00E+00,Gm19325
1.32E-01,0.3179328034,0.303,0.272,1.00E+00,Kdm1a
1.32E-01,1.768689232,0.014,0.004,1.00E+00,Hexim1
1.32E-01,-1.0320017,0.009,0.022,1.00E+00,Wnt2b
1.32E-01,-0.7618284701,0.009,0.022,1.00E+00,Rubcnl
1.32E-01,-0.3258561304,0.154,0.193,1.00E+00,Map3k7
1.33E-01,0.185854115,0.7,0.702,1.00E+00,Stau2
1.33E-01,-0.5468660156,0.057,0.083,1.00E+00,Tceanc2
1.33E-01,-0.3264529547,0.037,0.059,1.00E+00,Fiz1
1.33E-01,0.3758679965,0.305,0.28,1.00E+00,Syt14
1.33E-01,2.213375656,0.014,0.004,1.00E+00,Gm16984
1.33E-01,-0.9345433127,0.009,0.022,1.00E+00,Gtf3c6
1.33E-01,-0.2857610038,0.069,0.098,1.00E+00,Noc3l
1.33E-01,1.631378185,0.021,0.009,1.00E+00,Ccdc18
1.33E-01,0.8523567766,0.055,0.035,1.00E+00,Arid3b
1.33E-01,-0.5571090642,0.03,0.05,1.00E+00,Zfp775
1.33E-01,1.483511649,0.03,0.015,1.00E+00,Trim27
1.33E-01,-0.4333375989,0.062,0.089,1.00E+00,Rpl10a
1.33E-01,0.450252711,0.204,0.17,1.00E+00,Dhtkd1
1.33E-01,-0.1715839753,0.202,0.25,1.00E+00,Uba2
1.33E-01,-0.5921176722,0.009,0.022,1.00E+00,Mms22l
1.33E-01,-0.7420780817,0.009,0.022,1.00E+00,Mmp15
1.33E-01,-0.9602761563,0.014,0.028,1.00E+00,Slc39a1
1.33E-01,0.4355465489,0.19,0.154,1.00E+00,Sh3gl1
1.33E-01,0.3055712879,0.544,0.565,1.00E+00,Ttc7b
1.33E-01,-0.3431708964,0.044,0.067,1.00E+00,Gm14532
1.33E-01,-0.8957403891,0.014,0.028,1.00E+00,Rbak
1.34E-01,2.089605268,0.014,0.004,1.00E+00,Prox1
1.34E-01,2.082153423,0.014,0.004,1.00E+00,Nat8f3
1.34E-01,1.761898814,0.014,0.004,1.00E+00,Rasd2
1.34E-01,-0.7350169523,0.009,0.022,1.00E+00,Mas1
1.34E-01,1.351928642,0.021,0.009,1.00E+00,Hist3h2a
1.34E-01,-0.6604742737,0.018,0.035,1.00E+00,Llph
1.34E-01,-0.1118477537,0.161,0.207,1.00E+00,Kcnb1
1.34E-01,1.847644297,0.014,0.004,1.00E+00,Cps1
1.34E-01,1.762004898,0.014,0.004,1.00E+00,Htr1d
